#wvl              a              b              c           rmse
380.00009000 0.005299246003 1.201137165022 0.000000000003 0.000000000002
390.00000000 0.005163638138 1.140449458041 0.000000000001 0.000000000001
399.99997000 0.004996167906 1.067673575590 0.000000000000 0.000000000000
409.99991000 0.004825464487 0.995957885537 0.000000005369 0.000000003507
419.99997000 0.004667630486 0.931873933884 0.000000000607 0.000000000408
429.99982000 0.004528825870 0.877274703158 0.000000000213 0.000000000147
439.99985000 0.004408765909 0.831377899986 0.000000000114 0.000000000079
449.99985000 0.004302140140 0.791650558051 0.000000000062 0.000000000044
459.99997000 0.004200700492 0.754758239667 0.000000000034 0.000000000024
470.00000000 0.004102550541 0.719900233748 0.000000000018 0.000000000013
479.99991000 0.004008664600 0.687327753625 0.000000000009 0.000000000007
490.00012000 0.003926467030 0.659429468869 0.000000000005 0.000000000004
499.99988000 0.003858351925 0.636748773871 0.000000000003 0.000000000002
510.00000000 0.003801224659 0.618032791867 0.000000000002 0.000000000001
519.99988000 0.003758294676 0.604151837418 0.000000000001 0.000000000001
529.99982000 0.003726162141 0.593865288201 0.000000000001 0.000000000001
539.99994000 0.003702362047 0.586303131901 0.000000000001 0.000000000001
550.00018000 0.003685036430 0.580828629168 0.000000000001 0.000000000000
560.00018000 0.003669741428 0.576017095383 0.000000000001 0.000000000000
570.00006000 0.003654505572 0.571244064335 0.000000000000 0.000000000000
579.99988000 0.003635350611 0.565271447070 0.000000000000 0.000000000000
590.00012000 0.003612584789 0.558213764980 0.000000000000 0.000000000000
599.99988000 0.003586718387 0.550248670586 0.000000000000 0.000000000000
609.99982000 0.003558641119 0.541667562488 0.000000000000 0.000000000000
619.99994000 0.003529220998 0.532748398368 0.000000000000 0.000000000000
630.00012000 0.003499973919 0.523955085412 0.000000000000 0.000000000000
640.00031000 0.003474315138 0.516300875004 0.000000000000 0.000000000000
650.00018000 0.003452073166 0.509711494774 0.000000000000 0.000000000000
660.00006000 0.003431457396 0.503641682590 0.000000000000 0.000000000000
670.00012000 0.003416289355 0.499199037441 0.000000000000 0.000000000000
680.00000000 0.003405224005 0.495970466460 0.000000000000 0.000000000000
689.99994000 0.003397226131 0.493643423667 0.000000000000 0.000000000000
699.99988000 0.003392829633 0.492366559535 0.000000000000 0.000000000000
709.99969000 0.003390099992 0.491574628783 0.000000000000 0.000000000000
719.99988000 0.003388655994 0.491155949936 0.000000000000 0.000000000000
730.00012000 0.003387507373 0.490823041211 0.000000000000 0.000000000000
739.99988000 0.003387401343 0.490792315851 0.000000000000 0.000000000000
749.99963000 0.003384115351 0.489840579060 0.000000000000 0.000000000000
759.99976000 0.003381667486 0.489132193170 0.000000000000 0.000000000000
770.00000000 0.003377269335 0.487854040224 0.000000006506 0.000000004959
780.00012000 0.003368537718 0.485335106003 0.000000006060 0.000000004623
790.00000000 0.003356885461 0.481983738608 0.000000005498 0.000000004202
800.00006000 0.003342995774 0.478003974215 0.000000004886 0.000000003739
809.99994000 0.003323601289 0.472474465814 0.000000004119 0.000000003160
819.99976000 0.003297257259 0.465014981874 0.000000003232 0.000000002487
830.00018000 0.003262826685 0.455355018579 0.000000002303 0.000000001781
840.00006000 0.003218158137 0.442973460707 0.000000001423 0.000000001106
850.00000000 0.003166244375 0.428797725586 0.000000000753 0.000000000590
859.99982000 0.003112081532 0.414253297535 0.000000000346 0.000000000272
869.99994000 0.003047515404 0.397242886639 0.000000000108 0.000000000086
880.00006000 0.002985458438 0.381229475956 0.000000000023 0.000000000019
889.99994000 0.002927115739 0.366474890360 0.000000000007 0.000000000006
900.00000000 0.002871084573 0.352578972588 0.000000000005 0.000000000004
909.99994000 0.002818643284 0.339816664227 0.000000000003 0.000000000003
919.99957000 0.002771210401 0.328475846837 0.000000000002 0.000000000002
929.99982000 0.002728423523 0.318410962308 0.000000000002 0.000000000001
940.00024000 0.002690353674 0.309587340911 0.000000000001 0.000000000001
949.99976000 0.002657269974 0.302020069213 0.000000000001 0.000000000001
960.00006000 0.002628383314 0.295489358604 0.000000000001 0.000000000001
970.00000000 0.002603341906 0.289885746014 0.000000000001 0.000000000000
979.99976000 0.002581983078 0.285148588425 0.000000000000 0.000000000000
990.00006000 0.002563841516 0.281155636401 0.000000000000 0.000000000000
999.99969000 0.002548744255 0.277854198021 0.000000000000 0.000000000000
1009.99963000 0.002536172500 0.275119910569 0.000000000000 0.000000000000
1019.99988000 0.002525780349 0.272869882121 0.000000000000 0.000000000000
1030.00000000 0.002517516092 0.271087163799 0.000000000000 0.000000000000
1039.99976000 0.002510813500 0.269645609568 0.000000000000 0.000000000000
1050.00012000 0.002505621447 0.268531574842 0.000000000000 0.000000000000
1060.00000000 0.002501287703 0.267603469233 0.000000000000 0.000000000000
1069.99976000 0.002498147310 0.266931933175 0.000000000000 0.000000000000
1079.99988000 0.002496964208 0.266679159418 0.000000000000 0.000000000000
1089.99976000 0.002498832930 0.267078472849 0.000000000000 0.000000000000
1100.00037000 0.002502716316 0.267909240568 0.000000000000 0.000000000000
1109.99963000 0.002503873824 0.268157114234 0.000000000000 0.000000000000
1119.99988000 0.002499385380 0.267196579075 0.000000000000 0.000000000000
1130.00000000 0.002492862378 0.265803717206 0.000000000000 0.000000000000
1140.00012000 0.002485101608 0.264151295096 0.000000000000 0.000000000000
1149.99976000 0.002476373676 0.262299100378 0.000000000000 0.000000000000
1160.00000000 0.002465788379 0.260061490018 0.000000000000 0.000000000000
1169.99951000 0.002454211147 0.257625170460 0.000000000000 0.000000000000
1179.99988000 0.002441776540 0.255021195372 0.000000000000 0.000000000000
