wavelength,Coastal_water.1,Coastal_water.2,Coastal_water.3,Coastal_water.4,Coastal_water.5,Inland_water.1,Inland_water.2,Inland_water.3,Inland_water.4,Inland_water.5,Mineral.1,Mineral.2,Mineral.3,Mineral.4,Mineral.5,Snow.1,Snow.2,Snow.3,Snow.4,Snow.5,Vegetation.1,Vegetation.2,Vegetation.3,Vegetation.4,Vegetation.5
376.86,0,0.0177999995648861,0.00419999985024333,0.0122999995946884,0.0153000000864267,0.093800000846386,0,0.0305000003427267,0.00240000011399388,0.00179999996908009,0.0443999990820885,0.0227000005543232,0.0390000008046627,0.0225000008940697,0.0284000001847744,0.351700007915497,0.415600001811981,0.223900005221367,0.35929998755455,0.332100003957748,0.00410000002011657,0,0,0,0.00359999993816018
381.87,0.0111999996006489,0.0217000003904104,0.014299999922514,0.00920000020414591,0.0183000005781651,0.0913000032305717,0,0.0284000001847744,0.00609999988228083,0.0109000001102686,0.0441999994218349,0.0294000003486872,0.0272000003606081,0.0355000011622906,0.0364000014960766,0.402200013399124,0.443399995565414,0.258700013160706,0.40599998831749,0.302100002765656,0,0,0,0.0120000001043081,0
386.88,0.0102000003680587,0.0284000001847744,0.0217000003904104,0.0189999993890524,0.02280000038445,0.0800999999046326,0,0.0296999998390675,0.00930000003427267,0.00529999984428287,0.0373000018298626,0.0197999998927116,0.0399000011384487,0.0315999984741211,0.031300000846386,0.412299990653992,0.459899991750717,0.27250000834465,0.402399986982346,0.345400005578995,0,0,0,0.00150000001303852,0
391.89,0.00810000021010637,0.0252999998629093,0.0177999995648861,0.0230999998748302,0.0207000002264977,0.0851999968290329,0,0.0295000001788139,0.00329999998211861,0.00800000037997961,0.0458000004291534,0.0284000001847744,0.0353999994695187,0.0331999994814396,0.0348999984562397,0.392199993133545,0.474000006914139,0.271299988031387,0.398299992084503,0.359899997711182,0,0,0,0,0
396.89,0.0122999995946884,0.0275999996811152,0.0195000004023314,0.0225000008940697,0.0280000008642673,0.0745000019669533,0,0.0288999993354082,0.00800000037997961,0.00899999961256981,0.0430999994277954,0.0273000001907349,0.0326999984681606,0.0337999984622002,0.0399000011384487,0.428999990224838,0.483900010585785,0.280800014734268,0.407599985599518,0.362800002098083,0,0,0,0,0.00370000000111759
401.9,0.0177999995648861,0.0278999991714954,0.0232999995350838,0.0234999991953373,0.030799999833107,0.0759999975562096,0,0.0275999996811152,0.0136000001803041,0.0120000001043081,0.0432999990880489,0.0307000000029802,0.0410000011324883,0.0414999984204769,0.0480000004172325,0.45100000500679,0.507099986076355,0.288700014352798,0.435699999332428,0.357400000095367,0,0,0,0,0.00579999992623925
406.91,0.0190999992191792,0.0278999991714954,0.0219999998807907,0.0254999995231628,0.0333999991416931,0.0716999992728233,0,0.0261000003665686,0.0148000000044703,0.0140000004321337,0.0480999983847141,0.0329999998211861,0.0397999994456768,0.0370999984443188,0.0399999991059303,0.465400010347366,0.509299993515015,0.290399998426437,0.445199996232986,0.386099994182587,0,0,0.00209999992512167,0.00120000005699694,0.00540000014007092
411.92,0.0198999997228384,0.0285000000149012,0.0238000005483627,0.0284000001847744,0.0342999994754791,0.0718000009655952,0,0.0272000003606081,0.0149999996647239,0.0121999997645617,0.045099999755621,0.0329999998211861,0.0414999984204769,0.0379000008106232,0.0500000007450581,0.449499994516373,0.530399978160858,0.301899999380112,0.447499990463257,0.380899995565414,0.00439999997615814,0,0.00800000037997961,0.00310000008903444,0.00970000028610229
416.93,0.0197000000625849,0.0307000000029802,0.0210999995470047,0.0282000005245209,0.0344999991357327,0.0684999972581863,0,0.0300999991595745,0.0157999992370605,0.0153000000864267,0.0502999983727932,0.0386000014841557,0.0395000018179417,0.0414999984204769,0.0502999983727932,0.474599987268448,0.538600027561188,0.30799999833107,0.460999995470047,0.402999997138977,0.00370000000111759,0.00120000005699694,0.00370000000111759,0.00760000012814999,0.0102000003680587
421.94,0.0175000000745058,0.0297999996691942,0.0247000008821487,0.0286999996751547,0.035300001502037,0.0680999979376793,0.00410000002011657,0.0283000003546476,0.0181000009179115,0.0125000001862645,0.0546999983489513,0.0377999991178513,0.0384000018239021,0.0432000011205673,0.0518999993801117,0.490599989891052,0.558499991893768,0.310400009155273,0.463899999856949,0.407299995422363,0.00510000018402934,0.000899999984540045,0.00779999978840351,0.008500000461936,0.0109999999403954
